,0,1
113,ALL,LMT
114,ALL,MAS
115,ALL,MSCI
116,ALL,PAYC
117,ALL,RF
118,ALL,SYY
119,ALL,TRGP
120,ALL,TEL
121,ALL,TMO
122,MO,CDAY
123,MO,FDS
124,MO,MLM
125,MO,SYK
126,AMCR,BMY
127,AMCR,CDAY
128,AMCR,TAP
129,AMCR,PAYC
130,AEE,AWK
131,AEE,BLK
132,AEE,CARR
133,AEE,CNC
134,AEE,CDAY
135,AEE,KO
136,AEE,EIX
137,AEE,ES
138,AEE,GS
139,AEE,LH
140,AEE,TAP
141,AEE,DGX
142,AEE,SPG
143,AEE,TMO
144,AEE,UHS
145,AXP,EFX
146,AXP,GM
147,AXP,HD
148,AXP,LH
149,AXP,MCO
150,AIG,CDAY
151,AIG,GS
152,AIG,HD
153,AIG,MTD
154,AIG,VMC
155,AMT,CNC
156,AMT,TAP
157,AMT,O
158,AWK,ATO
159,AWK,BDX
160,AWK,CNP
161,AWK,ED
162,AWK,DUK
163,AWK,EIX
164,AWK,ETR
165,AWK,EVRG
166,AWK,ES
167,AWK,FE
168,AWK,HUM
169,AWK,LH
170,AWK,TAP
171,AWK,NI
172,AWK,OKE
173,AWK,ORCL
174,AWK,PNW
175,AWK,PPL
176,AWK,PEG
177,AWK,DGX
178,AWK,RTX
179,AWK,ROL
180,AWK,ROP
181,AWK,SRE
182,AWK,TRGP
183,AWK,TMO
184,AWK,V
185,AWK,WEC
186,AWK,WMB
187,AMP,GS
188,AME,GS
189,AME,ROL
190,APH,BDX
191,APH,CDAY
192,APH,EIX
193,APH,EOG
194,APH,FE
195,APH,FCX
196,APH,GS
197,APH,RF
198,APH,TRGP
199,APH,WMB
200,AON,STZ
201,AON,KMI
202,AON,TRGP
203,APTV,CRL
204,APTV,GLW
205,APTV,CVS
206,APTV,DFS
207,APTV,DG
208,APTV,LLY
209,APTV,HUM
210,APTV,HII
211,APTV,IRM
212,APTV,LH
213,APTV,OXY
214,APTV,PKI
215,APTV,PNC
216,APTV,PWR
217,APTV,SYF
218,APTV,UNH
219,APTV,V
220,ANET,CDAY
221,ANET,PAYC
222,ANET,RF
223,AJG,SHW
224,T,JNJ
225,ATO,CNC
226,ATO,EIX
227,ATO,ES
228,ATO,IRM
229,ATO,TAP
230,ATO,SO
231,AZO,SHW
232,AVY,BDX
233,AVY,LLY
234,AVY,JNJ
235,AVY,TAP
236,AVY,DGX
237,BAC,CNP
238,BAC,DFS
239,BAC,MGM
240,BAC,PM
241,BAC,SRE
242,BBWI,BA
243,BBWI,CVS
