Date,AAPL
2022-01-03,5.196748836380431
2022-01-04,5.183976010459892
2022-01-05,5.157016085396586
2022-01-06,5.1401817319749386
2022-01-07,5.141169710136856
2022-01-10,5.141285852460342
2022-01-11,5.157930339474359
2022-01-12,5.160497266975816
2022-01-13,5.141285852460342
2022-01-14,5.146383605692465
2022-01-18,5.127308682927583
2022-01-19,5.1060596771033415
2022-01-20,5.095658816076803
2022-01-21,5.082811353409463
2022-01-24,5.077935082736356
2022-01-25,5.066485111709425
2022-01-26,5.0659217040085345
2022-01-27,5.062974113102854
2022-01-28,5.1304250497515955
2022-01-31,5.156215415843603
2022-02-01,5.155242374483139
2022-02-02,5.162261689872184
2022-02-03,5.1454006789656725
2022-02-04,5.1437199494770365
2022-02-07,5.139476303926944
2022-02-08,5.1577746705505
2022-02-09,5.166034235397011
2022-02-10,5.142152521284056
2022-02-11,5.121726883807296
2022-02-14,5.123148937001833
2022-02-15,5.146037532337982
2022-02-16,5.144647680643793
2022-02-17,5.123148937001833
2022-02-18,5.113749177858086
2022-02-22,5.095776348768638
2022-02-23,5.069571911151585
2022-02-24,5.086114475951603
2022-02-25,5.09899657776193
2022-02-28,5.100633074109006
2022-03-01,5.088937079190212
2022-03-02,5.109316140686069
2022-03-03,5.107332875862895
2022-03-04,5.088753167441369
2022-03-07,5.0647498967995235
2022-03-08,5.053005016049498
2022-03-09,5.087404074847364
2022-03-10,5.059841379632907
2022-03-11,5.035642262759384
2022-03-14,5.008720620481152
2022-03-15,5.037966104538133
2022-03-16,5.066568705720968
2022-03-17,5.073001849152432
2022-03-18,5.093704985090577
2022-03-21,5.102206470157761
2022-03-22,5.122793635975942
2022-03-23,5.130993678228842
2022-03-24,5.153418066866954
2022-03-25,5.157145250657918
2022-03-28,5.162169289577784
2022-03-29,5.18112283223605
2022-03-30,5.174451203197169
2022-03-31,5.156515522263608
2022-04-01,5.154795790678873
2022-04-04,5.178212970252215
2022-04-05,5.159089323981406
2022-04-06,5.140466140353151
2022-04-07,5.142268638702976
2022-04-08,5.130288234759274
2022-04-11,5.104441121012543
2022-04-12,5.115898789666926
2022-04-13,5.132109065577378
2022-04-14,5.1016620953083995
2022-04-18,5.100330224657876
2022-04-19,5.114346806852852
2022-04-20,5.11333067084818
2022-04-21,5.1084753225949875
2022-04-22,5.080259774886813
2022-04-25,5.086974299058666
2022-04-26,5.048931738817502
2022-04-27,5.047463876330381
2022-04-28,5.091629415768703
2022-04-29,5.054337901290099
2022-05-02,5.056302465361083
2022-05-03,5.0658790626322725
2022-05-04,5.106068831289377
2022-05-05,5.0487404176689985
2022-05-06,5.05345636335321
2022-05-09,5.019703953194405
2022-05-10,5.035687502847348
2022-05-11,4.982454128293147
2022-05-12,4.955191681834029
2022-05-13,4.986609448811519
2022-05-16,4.975879727530371
2022-05-17,5.0009844840154
